NAME,Sex,Ticket price,Port Embarked,DATE OF BIRTH,SURVIVED,RICH,HIGHEST PRICE BELONGINGS,WEIGHT,HEIGHT
Georg Greenmon,male,13,S,01/02/1882,0,0,monocle/suit/clock,100.2,153
Marv Peet,male,08.05,S,25/06/1833,0,0,monocle/suit/clock,99.7,179
Ardith Ninotti,male,08.05,S,12/12/1848,0,0,clock/jacket/hat,52.1,170
Russell Birdwistle,male,28.5,C,12/12/1868,1,1,monocle/suit/clock,87.9,200
Zollie Velde,female,254.667,S,15/11/1868,0,1,monocle/suit/clock,95.9,155
Aubree Mortell,male,64.375,C,18/4/1877,1,1,monocle/suit/clock,70.5,165
Maurene Trytsman,male,78.958,S,08/12/1856,1,0,clock/jacket/hat,91.9,192
Allie Birdis,male,78.542,S,05/06/1837,0,1,monocle/suit/clock,94.1,152
Lorain Lemmen,male,7.225,C,8/5/1884,0,0,monocle/suit/clock,86.4,197
Tiphanie Denford,male,13,S,27/10/1856,1,1,monocle/suit/clock,76.2,194
Obadias Wallenger,female,08.05,S,21/08/1878,0,0,clock/jacket/hat,52.4,159
Reade Cuniffe,male,46.9,S,16/07/1835,0,1,monocle/suit/clock,60.5,168
Rosana Tissington,female,46.9,S,03/11/1880,0,1,monocle/suit/clock,87.9,190
Jefferson Orford,female,151.55,S,28/06/1888,0,1,monocle/suit/clock,53.2,167
Sibylla Faustin,male,262.375,C,20/05/1883,1,0,monocle/suit/clock,99.8,184
Lorene Kondratyuk,male,26,S,25/02/1844,0,0,monocle/suit/clock,99.2,187
Avivah Gribble,male,26.55,S,24/02/1868,0,0,monocle/suit/clock,96.2,200
Conny Birchwood,male,18,S,31/03/1875,1,1,clock/jacket/hat,100.1,189
Major Mease,male,518.625,S,05/08/1886,1,1,clock/jacket/hat,61.6,166
Monica Haswell,male,08.05,S,26/07/1838,0,1,clock/jacket/hat,88.8,183
Timmy O'Hoolahan,male,26.55,S,25/12/1882,0,0,clock/jacket/hat,72.6,194
Lauraine Dimmack,male,26,S,05/06/1851,1,1,clock/jacket/hat,99.9,175
Bernadine McCosker,female,831.583,C,08/08/1858,0,0,jacket/monocle/shoes,71.6,170
Chev Baxill,male,78.958,C,26/12/1834,1,1,clock/jacket/hat,89.3,189
Wynn Gras,male,23.5,S,18/2/1874,1,1,clock/jacket/hat,62.1,193
Roddie Parell,female,121.833,S,08/07/1880,0,0,clock/jacket/hat,74.2,177
Andee Fitzsymonds,male,313.875,S,11/11/1838,1,1,clock/jacket/hat,77.4,171
Lydon Tomadoni,male,7.55,S,17/8/1871,0,1,clock/jacket/hat,63.6,157
Seka Woolhouse,female,217.792,S,20/07/1840,1,1,clock/jacket/hat,79.5,176
Leese Reimer,female,78.542,S,26/01/1883,1,0,clock/jacket/hat,77.4,168
Elvina Canape,male,26.55,S,06/11/1848,1,1,clock/jacket/hat,90,183
Ricca Klimontovich,female,13.775,S,17/05/1838,0,0,clock/jacket/hat,91.7,157
Etan Ingley,female,77.333,Q,24/01/1884,0,1,clock/jacket/hat,59.5,172
Idelle Oliveti,male,152.458,C,08/08/1883,0,0,clock/jacket/hat,51.2,153
Cindy Vlasin,female,13.5,S,20/12/1856,1,0,clock/jacket/hat,63.3,184
Gery Towle,male,7,S,22/12/1841,0,1,clock/jacket/hat,78.5,160
Bethany Rudgard,male,13,S,15/7/1834,1,0,jacket/monocle/shoes,81.2,199
Arlena Buck,female,22.025,S,18/08/1878,1,0,clock/jacket/hat,65.5,168
Collete Dorset,male,504.958,C,06/08/1857,0,1,jacket/monocle/shoes,73.6,181
Sigrid Rigg,male,34.375,S,03/08/1876,1,0,clock/jacket/hat,78,176
Michel Echallie,female,277.208,C,24/02/1848,1,0,jacket/monocle/shoes,65.6,158
Rolando Cullen,female,89.625,S,31/07/1851,1,1,jacket/monocle/shoes,76.4,157
Eveleen Hallmark,male,7.55,S,28/08/1868,1,0,clock/jacket/hat,92.2,173
Zola Sainer,male,7.225,C,14/02/1858,0,0,clock/jacket/hat,63.1,167
Myrta Beau,male,13.9,S,28/03/1861,0,1,jacket/monocle/shoes,54.3,174
Gerrie Fronzek,male,72.292,C,28/08/1838,0,1,clock/jacket/hat,55.3,151
Minor Toghill,male,313.875,S,11/11/1864,1,0,clock/jacket/hat,98.2,185
Lorne Weymouth,female,39,S,26/3/1875,1,1,clock/jacket/hat,79.8,182
Casie Aldam,female,36.75,S,08/10/1856,0,0,jacket/monocle/shoes,70.2,180
Larissa Tessyman,male,554.417,C,18/12/1858,1,0,clock/jacket/hat,68.7,187
Philip Hevner,female,39,S,18/3/1865,1,0,clock/jacket/hat,77.5,174
Gussie Paskell,female,831.583,C,20/02/1853,0,1,clock/jacket/hat,67,182
Cristina Naile,male,13,S,03/05/1840,1,0,jacket/monocle/shoes,72.2,188
Cord Woodhead,male,831.583,C,05/10/1887,1,1,clock/jacket/hat,72.7,165
Tamma Vickars,female,53.1,S,03/12/1880,0,1,clock/jacket/hat,83.7,172
Rossie Mellody,male,7.75,Q,20/03/1853,0,1,clock/jacket/hat,97.9,181
Jedidiah Lehrian,female,475.208,C,18/04/1834,0,0,clock/jacket/hat,84.6,183
Vally Berggren,male,16,S,17/10/1871,0,0,clock/jacket/hat,54.7,198
Harriott Davenall,female,21,S,20/8/1878,1,1,clock/jacket/hat,72.1,178
Stafani Badger,male,08.05,S,30/06/1858,1,1,clock/jacket/hat,88.6,157
Lauritz Zettler,female,69.55,S,25/08/1877,0,0,clock/jacket/hat,58,190
Tabb Cleary,male,13,S,05/07/1854,1,1,clock/jacket/hat,65.5,199
Berta Meekin,male,26,S,05/04/1867,0,1,clock/jacket/hat,84.7,198
Helsa Fudger,male,26,S,03/02/1884,0,1,jacket/monocle/shoes,96.7,195
Wakefield Egell,male,14.5,S,30/10/1865,0,0,clock/jacket/hat,70.7,166
Pietrek Tonepohl,male,12.35,Q,30/11/1838,0,1,clock/jacket/hat,72.1,190
Marita Basilio,male,32.5,S,22/02/1868,0,0,jacket/monocle/shoes,89.8,187
Violet Acton,male,78.542,S,28/11/1864,0,1,clock/jacket/hat,68.8,162
Hammad Macias,male,134.5,C,2/3/1883,0,0,clock/jacket/hat,70.6,167
Thoma Sterry,female,7.775,S,26/03/1860,1,0,clock/jacket/hat,59.7,184
Cecily Stroton,male,10.5,S,07/11/1882,0,1,jacket/monocle/shoes,58.9,196
D'arcy Cockitt,female,81.125,S,21/07/1878,1,0,clock/jacket/hat,59.4,185
Phedra Riglesford,female,15.5,Q,01/01/1865,1,0,clock/jacket/hat,55.5,164
Anson Tomasicchio,male,14.4,S,08/11/1885,0,0,clock/jacket/hat,51.3,171
Hughie Athow,male,227.525,C,23/05/1833,0,0,clock/jacket/hat,99,174
Deedee Stradling,female,26,S,14/10/1835,1,0,clock/jacket/hat,67.7,199
Findlay Blackaller,male,10.5,S,13/8/1850,0,1,jacket/monocle/shoes,52.3,187
Ianthe Focke,male,257.417,C,25/10/1847,1,1,clock/jacket/hat,52.4,181
Bertine Gercken,female,7.75,Q,17/08/1862,1,0,clock/jacket/hat,89.1,175
Dallon Pinnijar,male,10.5,S,14/02/1844,0,1,clock/jacket/hat,54,200
Brewer Fenne,female,277.208,C,01/12/1851,1,1,jacket/monocle/shoes,101,157
Rolph Klesl,male,78.958,S,04/04/1868,0,1,clock/jacket/hat,67,182
Uri Dorgon,male,22.525,S,24/07/1862,1,1,jacket/monocle/shoes,71.9,191
Elinore Oxbrow,male,07.05,S,30/10/1871,0,1,clock/jacket/hat,85.5,163
Currey Elecum,male,73.5,S,23/05/1877,1,1,clock/jacket/hat,94.3,152
Merwyn Hannum,female,26,S,11/02/1855,1,0,jacket/monocle/shoes,65.9,180
Benjamin Elcox,female,7.775,S,10/06/1884,0,1,clock/jacket/hat,96.4,172
Aloisia Caldayrou,male,42.5,S,13/07/1871,0,1,clock/jacket/hat,73.6,196
Gayla Sanger,female,78.792,Q,25/02/1861,0,0,clock/jacket/hat,64.1,165
Karia Portch,male,648.667,S,11/03/1833,0,1,clock/jacket/hat,77.4,192
Cole Style,female,211.5,C,15/02/1883,0,1,clock/jacket/hat,79.5,185
Zarah Rising,male,08.05,S,25/04/1854,1,0,clock/jacket/hat,74.6,191
Lilian Burtonwood,female,138.583,C,01/08/1876,1,1,clock/jacket/hat,72.3,153
Bernardine Elkin,male,08.05,S,22/04/1856,0,1,clock/jacket/hat,52.9,169
Tedda Wurz,female,10.5,S,25/05/1875,1,0,jacket/monocle/shoes,55.7,165
Ingelbert Hannigane,male,77.958,S,31/07/1888,0,1,jacket/monocle/shoes,86.6,175
Serene Couves,female,274.458,C,08/04/1884,0,1,jacket/monocle/shoes,70.7,150
Lexine Ling,female,152.458,C,22/08/1848,1,0,clock/jacket/hat,95.6,153
Filippa MacLeese,male,77.958,S,25/12/1882,1,1,jacket/monocle/shoes,63.4,198
Lynelle Jermin,female,7.75,Q,5/2/1837,1,0,jacket/monocle/shoes,67,164
Clyve Moehler,male,15.1,S,07/10/1878,0,1,jacket/monocle/shoes,72.2,171
Skylar Fulham,male,13,S,24/08/1843,0,1,jacket/monocle/shoes,87.9,171
Bernelle Euler,male,65,S,06/05/1851,1,0,jacket/monocle/shoes,55.4,186
Caroline Acosta,female,26.55,S,03/05/1868,0,1,jacket/monocle/shoes,80,197
Boothe Atrill,male,64.958,S,28/07/1884,1,0,clock/jacket/hat,85.9,169
Christiano Duesberry,male,78.792,Q,18/06/1841,0,1,jacket/monocle/shoes,63.1,172
Tate Melan,male,712.833,C,20/12/1886,0,1,jacket/monocle/shoes,74.1,191
Godard Dilke,male,78.542,S,27/6/1846,0,0,jacket/monocle/shoes,72.5,196
Bethanne Cloonan,male,75.25,C,16/08/1888,1,1,jacket/monocle/shoes,97.9,154
Bibbie Lapworth,male,7.225,C,17/03/1858,1,1,jacket/monocle/shoes,75.7,200
Aigneis McCotter,female,13,S,27/10/1844,1,0,jacket/monocle/shoes,54.6,151
Barclay Molnar,female,106.425,C,18/1/1845,1,0,clock/jacket/hat,92.9,198
Levon Dwyer,female,277.208,C,04/04/1847,0,0,jacket/monocle/shoes,69.5,193
Stephanus Sandford,female,30,S,25/10/1833,1,0,jacket/monocle/shoes,95.4,185
Sella Gave,male,134.5,C,21/12/1888,0,0,jacket/monocle/shoes,78.3,172
Ana Skellon,male,78.875,S,18/12/1855,0,0,jacket/monocle/shoes,95.2,186
Harley Emmines,male,23.45,S,2/4/1835,0,1,clock/jacket/hat,82.2,182
Lock Kearley,male,518.625,S,04/08/1847,0,1,jacket/monocle/shoes,79.5,188
Jammal Marr,female,21,S,30/05/1882,1,1,jacket/monocle/shoes,100.2,196
Stearne Fines,male,32.5,S,01/04/1882,1,0,jacket/monocle/shoes,96.5,188
Gwynne Callan,female,26,S,07/04/1882,0,1,clock/jacket/hat,55.7,157
Valenka Tromans,female,144.542,C,23/05/1836,0,1,jacket/monocle/shoes,68.7,161
Gasper McGahey,female,27.75,S,10/02/1877,0,1,clock/jacket/hat,98.2,156
Deloria Bolt,male,7.925,S,02/04/1868,0,0,jacket/monocle/shoes,97.3,166
Pedro Jones,male,367.792,C,01/02/1868,1,1,jacket/monocle/shoes,79.1,183
Roana Vashchenko,male,9.325,S,17/10/1845,1,1,jacket/monocle/shoes,56.6,156
Tully Reimers,male,9.5,S,28/08/1881,1,1,jacket/monocle/shoes,53.3,199
Hogan Barthelme,male,7.55,S,14/01/1878,1,1,clock/jacket/hat,94.3,162
Westley Chatres,male,7.75,Q,20/11/1880,1,1,jacket/monocle/shoes,59.4,158
Ivette Jillis,male,08.05,S,22/06/1835,1,0,jacket/monocle/shoes,95.7,157
Cher Molineaux,female,13,S,13/10/1862,0,0,jacket/monocle/shoes,74.3,168
Prudi Allsepp,male,7.775,S,30/1/1881,1,0,jacket/monocle/shoes,60.8,181
Alessandro Wadwell,male,17.4,S,11/04/1862,0,1,clock/jacket/hat,74.8,170
Dominique Lewins,male,78.542,S,12/11/1886,0,0,jacket/monocle/shoes,59.2,156
Nikola Poag,female,23,S,30/3/1878,1,0,clock/jacket/hat,84.1,150
Tiff Balaisot,female,121.833,S,26/11/1880,1,1,jacket/monocle/shoes,97.7,167
Fayre Dundendale,male,127.375,C,4/10/1870,0,1,jacket/monocle/shoes,51.5,158
Fallon Hayfield,male,78.958,S,16/01/1842,1,1,clock/jacket/hat,65,196
Jeniece O' Finan,male,0,S,25/06/1850,1,1,jacket/monocle/shoes,65.9,195
Holly Cowlas,male,7.55,S,26/12/1882,0,0,clock/jacket/hat,88.3,189
Amity McQuaide,female,08.05,S,22/8/1883,0,1,jacket/monocle/shoes,57.5,181
Tabbi Scannell,male,86.625,S,12/01/1853,0,1,jacket/monocle/shoes,56.6,159
Margo Haig,male,752.417,C,02/04/1881,0,1,jacket/monocle/shoes,97.8,180
Giorgia Kitteman,male,7.75,Q,30/06/1835,0,0,clock/jacket/hat,82.8,188
Jabez Overstall,female,367.792,C,08/05/1848,0,1,jacket/monocle/shoes,63.4,171
Lorie Mattielli,female,15.5,Q,25/08/1847,1,0,jacket/monocle/shoes,93.4,172
Noell Dodge,male,7.225,C,22/03/1881,0,0,clock/jacket/hat,56,198
Faina Simants,female,26,S,22/11/1846,0,1,jacket/monocle/shoes,100.1,161
Gasper Embra,male,10.5,S,28/3/1885,0,1,jacket/monocle/shoes,62.4,192
Margaret Idiens,male,26,S,21/10/1870,0,1,jacket/monocle/shoes,89.2,181
Enrico Sulland,male,21,S,27/08/1868,0,1,clock/jacket/hat,87.3,194
Mic Normanvill,male,10.5,S,03/04/1880,1,1,jacket/monocle/shoes,54,183
Natka Vodden,female,86.625,S,06/08/1833,1,0,jacket/monocle/shoes,95.2,193
Hy McCracken,male,13.775,S,05/08/1877,1,1,jacket/monocle/shoes,79.8,200
Bianca Sunnucks,female,7.75,Q,06/12/1848,0,0,clock/jacket/hat,89.1,198
Carlotta Saintsbury,female,152.458,C,04/03/1838,0,0,jacket/monocle/shoes,62.8,198
Meghann Cuttell,female,202.125,S,04/10/1862,0,1,clock/jacket/hat,52,165
Curcio Cowe,male,7.25,S,20/04/1854,1,0,jacket/monocle/shoes,96.9,158
Fifi Argo,male,7.25,S,28/06/1856,1,1,jacket/monocle/shoes,79.3,191
Jodi Bellamy,male,822.667,S,18/08/1867,1,1,clock/jacket/hat,63,165
Junie Haimes,male,72.292,C,26/04/1887,1,0,jacket/monocle/shoes,76.9,171
Karon Loyndon,male,08.05,S,08/11/1882,0,0,jacket/monocle/shoes,56.4,162
Anders Jurisch,male,39.6,S,21/08/1880,1,0,jacket/monocle/shoes,70.9,186
Car Banbrick,female,6.95,Q,01/04/1840,0,0,clock/jacket/hat,60.2,172
Lorna Davidsson,male,72.292,C,15/01/1882,1,1,jacket/monocle/shoes,59.6,159
Zedekiah Dows,male,818.583,S,18/05/1888,0,1,jacket/monocle/shoes,57.6,183
Lothaire Stitwell,male,9.5,S,16/5/1868,1,1,jacket/monocle/shoes,100.8,180
Prentice Scawen,male,78.958,S,01/07/1860,1,0,clock/jacket/hat,67.5,190
Wiley Cholomin,female,415.792,C,03/06/1880,1,0,jacket/monocle/shoes,61.8,193
Hartley Surphliss,male,216.792,C,04/08/1854,0,0,jacket/monocle/shoes,85.7,169
Ivor MacDunleavy,male,45.5,S,13/12/1872,0,0,clock/jacket/hat,88.5,169
Heriberto Daile,male,78.542,S,27/8/1851,0,1,jacket/monocle/shoes,72.9,194
Aggy Kitching,male,7.775,S,30/05/1865,1,0,clock/jacket/hat,94.4,193
Lavinia MacWhirter,male,150.458,C,16/12/1862,0,1,jacket/monocle/shoes,63.6,191
Ivett Balog,male,21,S,27/11/1872,0,1,jacket/monocle/shoes,82.3,166
Etan Affron,male,86.625,S,18/8/1865,1,1,jacket/monocle/shoes,94.8,180
Constancia Hakey,female,7.75,Q,23/12/1838,1,0,jacket/monocle/shoes,86.6,166
Shane Ebbles,female,26.55,S,11/4/1876,1,1,jacket/monocle/shoes,81.1,190
Carlotta Crosfeld,male,151.55,S,18/08/1845,1,1,wallet/shoes/gloves,58.8,195
Walsh Guy,male,9.35,S,01/05/1838,1,1,jacket/monocle/shoes,86.3,183
Aldo Sines,male,93.5,S,23/12/1885,0,0,jacket/monocle/shoes,97.1,161
Donnie Sprigg,female,141.083,S,03/01/1875,0,0,wallet/shoes/gloves,95.3,158
Sari Langhor,male,86.625,S,05/07/1834,1,1,jacket/monocle/shoes,61.3,170
